DateTime,OutdoorTemp,OutdoorRH,Wind_Speed,Wind_Dir,pressure,Rain_Rate1h,PC0_1_mean,PC0_1_median,PC0_1_max,PC0_1_min,PC0_1_75th,PC0_1_90th,PC0_1_95th,PC0_1_std,PC0_1_skew,PC0_1_kurt,PM2_5_mean,PM2_5_median,PM2_5_max,PM2_5_min,PM2_5_75th,PM2_5_90th,PM2_5_95th,PM2_5_std,PM2_5_skew,PM2_5_kurt
10/10/2025 14:40:00,29.4,75.7,8.0,NE,1006.1,0.0,53714.71604938272,53576.0,58466.0,50728.0,54535.0,56501.6,57396.7,1840.0089307717728,0.6173877821099371,-0.0363202468477186,3.020921312139918,3.04751528,3.94312894,0.0,3.30012365,3.661546752,3.794839053999999,0.4829379449675425,-0.9690297343921812,5.266166020877509
10/10/2025 14:45:00,29.4,74.9,4.8,E,1006.0,0.0,47814.213991769546,47376.0,55711.0,42183.0,51582.5,54217.0,55297.2,4214.731356630425,0.3511021542361376,-1.128913104718792,2.3234357465020574,2.12680642,3.75544916,0.0,2.493005725,3.254176272,3.66519464,0.5731402922529608,0.8894218473253469,1.306590980557936
10/10/2025 14:50:00,29.5,74.7,4.8,E,1005.9,0.0,43610.69140625,43205.0,48936.0,39266.0,46165.0,47661.0,48409.0,2840.94469417777,0.3377657679143078,-1.235109712205897,2.10429784375,1.99489634,3.23242025,0.0,2.40841311,2.677839635,2.90337247,0.4216826517726184,0.2967391829028623,2.0147214159767057
10/10/2025 14:55:00,29.5,74.3,6.4,E,1005.8,0.0,39594.5,39586.0,42000.0,37036.0,40545.5,41066.6,41347.25,1130.4261592675662,-0.2058932543213999,-0.5666961188184247,1.8064597193798448,1.823587825,2.40976424,0.0,1.99366718,2.185183918,2.2606151185,0.3179789964769897,-1.5186907214036311,6.723861726757329
10/10/2025 15:00:00,29.6,74.1,3.2,E,1005.8,0.0,41314.11284046693,41419.0,44889.0,38571.0,41999.0,42816.6,43589.8,1283.573520804728,0.2823496752053488,0.1873842900682376,1.9439919628015565,1.92911238,2.85023345,0.0,2.08910831,2.288315286,2.444164944,0.3066479273248144,-0.381008550449106,6.291240235147951
10/10/2025 15:05:00,29.6,75.3,6.4,NE,1005.8,0.0,39070.47081712062,38732.0,43956.0,33750.0,41935.0,43030.6,43191.8,3037.470770198312,-0.1245252008908913,-1.184721011011683,1.6841423359533074,1.65222756,2.42366057,1.03714538,1.97976249,2.148832182,2.2093981139999994,0.3506150431616245,0.0810232409453804,-0.959442314720676
10/10/2025 15:10:00,29.5,73.5,3.2,NNE,1005.6,0.0,38818.67622950819,38887.5,41855.0,34268.0,40117.25,41049.5,41297.3,1716.6229401384533,-0.4735324566091809,-0.2544405334291157,1.7238641552459015,1.768557505,2.55482047,0.0,1.920230725,2.111444833,2.2218056485,0.3509496784621058,-0.7385698193118724,2.027147847592037
10/10/2025 15:15:00,29.6,74.8,4.8,NE,1005.6,0.0,32837.389558232935,32820.0,36734.0,30134.0,34403.0,35425.8,35657.2,1900.9740512695744,0.1779318525246996,-1.4766086775477538,1.304081801004016,1.27063513,1.83409081,0.0,1.43365694,1.59450253,1.717359202,0.2217692445284712,-0.3359181591030745,3.8468975008270334
10/10/2025 15:20:00,29.6,74.3,4.8,NNE,1005.5,0.0,31984.4679245283,32377.0,37278.0,27229.0,34007.0,35109.6,35799.8,2627.2751352452315,-0.1743735983925211,-1.050272647085474,1.251792588,1.22312705,1.91294276,0.73244633,1.45845102,1.67293778,1.779298664,0.2899454261574669,0.3637364822340995,-0.5789850007966098
10/10/2025 15:25:00,29.4,73.6,4.8,NE,1005.6,0.0,30422.59259259259,30767.5,33055.0,26479.0,31558.0,32301.2,32562.8,1638.5679657504595,-0.7484927910754459,-0.2797195713726346,1.0682713079259258,1.07457993,1.52404901,0.49508025,1.2595893175,1.345081553,1.4110640415,0.2307689512154569,-0.241284482927292,-0.6790215947599756
10/10/2025 15:30:00,29.4,73.9,4.8,NE,1005.8,0.0,26885.41563786008,27133.0,29826.0,24042.0,28222.0,29158.6,29484.9,1693.2038961593855,-0.0842622941685209,-1.225714701589888,0.9201742134156378,0.87290189,1.42564621,0.57699382,1.111610925,1.261302618,1.322652287,0.2237690779743862,0.4446546120423591,-0.8775529360951699
10/10/2025 15:35:00,29.4,75.1,4.8,NE,1005.8,0.0,29492.272058823528,29337.5,32786.0,25951.0,30556.75,31237.7,31725.7,1352.291852420978,-0.1806180515742588,-0.1442677035482731,1.21910860375,1.18891919,1.69143334,0.74238758,1.344077305,1.445330562,1.5312372465,0.1820503704175612,0.2286513847496184,0.2404028720281306
10/10/2025 15:40:00,29.2,75.3,6.4,NNE,1005.7,0.0,31766.256916996048,32139.0,34172.0,27848.0,33000.0,33316.6,33557.4,1523.2230322424723,-0.8634664550591405,-0.0100057530258861,1.2388126828063242,1.22005385,1.66254155,0.86749912,1.3961419,1.513891992,1.594523848,0.2000258282676975,0.2722630472098428,-0.8230525712191614
10/10/2025 15:45:00,29.1,75.6,6.4,NE,1005.6,0.0,27459.625,28106.0,30469.0,22794.0,29377.75,30045.5,30273.9,2265.1356550207724,-0.594539576072723,-0.8254490729254567,0.9534730459090908,0.933828525,1.3011276,0.57673896,1.1108606875,1.1836895130000002,1.2385778795,0.1746356451904527,-0.0193614345288317,-0.7650993362353944
10/10/2025 15:50:00,29.1,76.5,3.2,NE,1005.6,0.0,24224.142322097377,24188.0,27107.0,21963.0,25252.0,26306.2,26549.0,1404.2967129007168,0.2508707501742102,-1.0171939613763064,0.8501816328089888,0.81213254,1.30864735,0.57643896,0.91109731,1.100245134,1.156009076,0.1602654971886181,0.8517353617856518,0.1677365074983519
10/10/2025 15:55:00,29.1,76.9,3.2,NE,1005.6,0.0,26336.9262295082,26538.0,28705.0,24009.0,27012.75,27601.0,28404.15,1096.7586675209968,-0.0569354604832961,-0.4993992133708542,1.0008308694262296,0.993041375,1.43511518,0.0,1.11059764,1.2343284740000002,1.314987963,0.1784229657280885,-0.444271648084807,3.326762700191712
10/10/2025 16:00:00,29.1,77.0,3.2,ENE,1005.5,0.0,23741.948339483395,23625.0,28189.0,20037.0,24738.5,26856.0,27808.5,1999.50420083909,0.2842371279223567,-0.1454892050026459,0.7878440770479705,0.74003921,1.19645516,0.51935784,0.88158151,1.0676221,1.14427494,0.1758427681751084,0.7422808467044901,-0.3379601243678496
10/10/2025 16:05:00,29.1,76.8,3.2,E,1005.5,0.0,28579.54339622641,28739.0,32671.0,23652.0,29908.0,30642.6,30874.8,1672.1065213536947,-0.029983020141963,-0.3505938054240003,1.0691768410943396,1.06836657,1.53940685,0.67180765,1.19029239,1.330843096,1.390772826,0.1844989116380172,0.1908221641216657,-0.3857386009292916
10/10/2025 16:10:00,29.1,77.1,1.6,NE,1005.5,0.0,29977.74621212121,29478.5,35239.0,26671.0,32140.5,33275.200000000004,34336.15,2290.781587440063,0.5679749009549475,-0.7909005458425726,1.1264767093181818,1.057714415,1.93810143,0.74883069,1.21954092,1.5817374150000003,1.726781011,0.2688772898690074,1.3001131361270295,1.2503713536852703
10/10/2025 16:15:00,29.1,76.9,1.6,NE,1005.7,0.0,26239.455252918287,26612.0,28276.0,23188.0,27598.0,27928.4,28012.4,1514.638376982749,-0.4648012587874433,-1.137025177244518,0.9779950112451362,0.98877706,1.61080713,0.45229943,1.12933872,1.272218244,1.332588472,0.2402692447349895,0.079695307329152,-0.2337952426011145
10/10/2025 16:20:00,29.1,76.9,1.6,S,1005.7,0.0,38756.14453125,38692.0,45433.0,28334.0,40933.75,42397.0,44264.5,3276.500356610993,-0.5867050492773657,0.9419428989675248,1.8585311687890624,1.768914,2.7816241,0.0,2.25584025,2.557870425,2.6636063475,0.4833613639096324,0.099387657204992,-0.3229323403961408
10/10/2025 16:25:00,29.1,77.5,1.6,SW,1005.8,0.0,34784.40684410647,32812.0,48265.0,27596.0,38125.0,44445.20000000001,47660.6,5947.5875003487,0.838433156544662,-0.3068769076737521,1.5968345979467682,1.40776068,3.41526965,0.0,2.086312235,2.466590098,3.102883572,0.6997082185604094,0.7654198691129657,0.0207990238270907
10/10/2025 16:30:00,29.1,77.7,4.8,SW,1005.8,0.0,53516.875939849626,53658.5,58422.0,47009.0,56263.5,57508.0,57799.25,3255.7471883367034,-0.2886411554528014,-1.2535860464641608,3.369451103195489,3.325226465,4.0114207,0.0,3.795593545,3.91267678,3.9298467025,0.4700347147836191,-1.4576604316027109,8.309971848877712
10/10/2025 16:35:00,29.0,78.8,3.2,S,1005.8,0.0,102283.0608365019,101593.0,183322.0,57289.0,131802.5,160091.80000000002,173090.8,38556.82855606292,0.4812554440482177,-1.070976294364678,5.681988147490494,4.76907144,13.9624206,0.0,5.45785711,9.753982146000002,11.662374142999996,2.415139770676379,1.8881215191514564,2.8354518712140067
10/10/2025 16:40:00,29.0,79.1,3.2,S,1005.8,0.0,86325.82213438734,89865.0,100024.0,70152.0,92886.0,95722.4,97319.0,8889.0940320317,-0.5649639464627907,-1.0502372455949522,4.528347743320158,4.47594295,5.64959861,0.0,4.93180195,5.242837870000001,5.401381106,0.6237404406142742,-2.813467861855006,20.452309862575024
10/10/2025 16:45:00,28.9,79.3,3.2,S,1005.9,0.0,63261.73764258556,62399.0,71704.0,56581.0,67060.5,69483.4,70296.1,4180.836064026515,0.2937174904899564,-1.0006097455519294,3.7581444348288975,3.92861693,4.32070712,0.0,4.102572595,4.166235634,4.196760617,0.5177101627878234,-3.278599260479482,19.541354125683803
10/10/2025 16:50:00,28.9,79.5,1.6,S,1005.9,0.0,62826.245059288536,62930.0,65194.0,59398.0,63588.0,64639.8,64810.8,1259.705991785144,-0.295632335430832,-0.385916080876076,4.083835455454546,4.13026916,4.27191755,3.48428167,4.17668021,4.22181729,4.239249034,0.1489590002241514,-1.89488114587949,4.078243082840696
